id,path,file_name,label,age_label,gender_label,mask_label
001617,001617_female_Asian_37,incorrect_mask.jpg,10,1,1,1
001617,001617_female_Asian_37,mask4.jpg,4,1,1,0
001617,001617_female_Asian_37,mask2.jpg,4,1,1,0
001617,001617_female_Asian_37,mask1.jpg,4,1,1,0
001617,001617_female_Asian_37,mask3.jpg,4,1,1,0
001617,001617_female_Asian_37,normal.jpg,16,1,1,2
001617,001617_female_Asian_37,mask5.jpg,4,1,1,0
001175,001175_male_Asian_60,incorrect_mask.jpg,8,2,0,1
001175,001175_male_Asian_60,mask4.jpg,2,2,0,0
001175,001175_male_Asian_60,mask2.jpg,2,2,0,0
001175,001175_male_Asian_60,mask1.jpg,2,2,0,0
001175,001175_male_Asian_60,mask3.jpg,2,2,0,0
001175,001175_male_Asian_60,normal.jpg,14,2,0,2
001175,001175_male_Asian_60,mask5.jpg,2,2,0,0
005527,005527_female_Asian_40,incorrect_mask.jpg,10,1,1,1
005527,005527_female_Asian_40,mask4.jpg,4,1,1,0
005527,005527_female_Asian_40,mask2.jpg,4,1,1,0
005527,005527_female_Asian_40,mask1.jpg,4,1,1,0
005527,005527_female_Asian_40,mask3.jpg,4,1,1,0
005527,005527_female_Asian_40,normal.jpg,16,1,1,2
005527,005527_female_Asian_40,mask5.jpg,4,1,1,0
001808,001808_male_Asian_55,incorrect_mask.jpg,7,1,0,1
001808,001808_male_Asian_55,mask4.jpg,1,1,0,0
001808,001808_male_Asian_55,mask2.jpg,1,1,0,0
001808,001808_male_Asian_55,mask1.jpg,1,1,0,0
001808,001808_male_Asian_55,mask3.jpg,1,1,0,0
001808,001808_male_Asian_55,normal.jpg,13,1,0,2
001808,001808_male_Asian_55,mask5.jpg,1,1,0,0
000528,000528_female_Asian_51,incorrect_mask.jpg,10,1,1,1
000528,000528_female_Asian_51,mask4.jpg,4,1,1,0
000528,000528_female_Asian_51,mask2.jpg,4,1,1,0
000528,000528_female_Asian_51,mask1.jpg,4,1,1,0
000528,000528_female_Asian_51,mask3.jpg,4,1,1,0
000528,000528_female_Asian_51,normal.jpg,16,1,1,2
000528,000528_female_Asian_51,mask5.jpg,4,1,1,0
001588,001588_female_Asian_18,incorrect_mask.jpg,9,0,1,1
001588,001588_female_Asian_18,mask4.jpg,3,0,1,0
001588,001588_female_Asian_18,mask2.jpg,3,0,1,0
001588,001588_female_Asian_18,mask1.jpg,3,0,1,0
001588,001588_female_Asian_18,mask3.jpg,3,0,1,0
001588,001588_female_Asian_18,normal.jpg,15,0,1,2
001588,001588_female_Asian_18,mask5.jpg,3,0,1,0
005412,005412_female_Asian_60,incorrect_mask.jpg,11,2,1,1
005412,005412_female_Asian_60,mask4.jpg,5,2,1,0
005412,005412_female_Asian_60,mask2.jpg,5,2,1,0
005412,005412_female_Asian_60,mask1.jpg,5,2,1,0
005412,005412_female_Asian_60,mask3.jpg,5,2,1,0
005412,005412_female_Asian_60,normal.jpg,17,2,1,2
005412,005412_female_Asian_60,mask5.jpg,5,2,1,0
001181,001181_male_Asian_22,incorrect_mask.jpg,6,0,0,1
001181,001181_male_Asian_22,mask4.jpg,0,0,0,0
001181,001181_male_Asian_22,mask2.jpg,0,0,0,0
001181,001181_male_Asian_22,mask1.jpg,0,0,0,0
001181,001181_male_Asian_22,mask3.jpg,0,0,0,0
001181,001181_male_Asian_22,normal.jpg,12,0,0,2
001181,001181_male_Asian_22,mask5.jpg,0,0,0,0
000597,000597_male_Asian_57,incorrect_mask.jpg,7,1,0,1
000597,000597_male_Asian_57,mask4.jpg,1,1,0,0
000597,000597_male_Asian_57,mask2.jpg,1,1,0,0
000597,000597_male_Asian_57,mask1.jpg,1,1,0,0
000597,000597_male_Asian_57,mask3.jpg,1,1,0,0
000597,000597_male_Asian_57,normal.jpg,13,1,0,2
000597,000597_male_Asian_57,mask5.jpg,1,1,0,0
000288,000288_female_Asian_51,incorrect_mask.jpg,10,1,1,1
000288,000288_female_Asian_51,mask4.jpg,4,1,1,0
000288,000288_female_Asian_51,mask2.jpg,4,1,1,0
000288,000288_female_Asian_51,mask1.jpg,4,1,1,0
000288,000288_female_Asian_51,mask3.jpg,4,1,1,0
000288,000288_female_Asian_51,normal.jpg,16,1,1,2
000288,000288_female_Asian_51,mask5.jpg,4,1,1,0
004252,004252_male_Asian_60,incorrect_mask.jpg,8,2,0,1
004252,004252_male_Asian_60,mask4.jpg,2,2,0,0
004252,004252_male_Asian_60,mask2.jpg,2,2,0,0
004252,004252_male_Asian_60,mask1.jpg,2,2,0,0
004252,004252_male_Asian_60,mask3.jpg,2,2,0,0
004252,004252_male_Asian_60,normal.jpg,14,2,0,2
004252,004252_male_Asian_60,mask5.jpg,2,2,0,0
006728,006728_male_Asian_19,incorrect_mask.jpg,6,0,0,1
006728,006728_male_Asian_19,mask4.jpg,0,0,0,0
006728,006728_male_Asian_19,mask2.jpg,0,0,0,0
006728,006728_male_Asian_19,mask1.jpg,0,0,0,0
006728,006728_male_Asian_19,mask3.jpg,0,0,0,0
006728,006728_male_Asian_19,normal.jpg,12,0,0,2
006728,006728_male_Asian_19,mask5.jpg,0,0,0,0
001442,001442_female_Asian_43,incorrect_mask.jpg,10,1,1,1
001442,001442_female_Asian_43,mask4.jpg,4,1,1,0
001442,001442_female_Asian_43,mask2.jpg,4,1,1,0
001442,001442_female_Asian_43,mask1.jpg,4,1,1,0
001442,001442_female_Asian_43,mask3.jpg,4,1,1,0
001442,001442_female_Asian_43,normal.jpg,16,1,1,2
001442,001442_female_Asian_43,mask5.jpg,4,1,1,0
001124,001124_male_Asian_30,incorrect_mask.jpg,7,1,0,1
001124,001124_male_Asian_30,mask4.jpg,1,1,0,0
001124,001124_male_Asian_30,mask2.jpg,1,1,0,0
001124,001124_male_Asian_30,mask1.jpg,1,1,0,0
001124,001124_male_Asian_30,mask3.jpg,1,1,0,0
001124,001124_male_Asian_30,normal.jpg,13,1,0,2
001124,001124_male_Asian_30,mask5.jpg,1,1,0,0
001071,001071_male_Asian_45,incorrect_mask.jpg,7,1,0,1
001071,001071_male_Asian_45,mask4.jpg,1,1,0,0
001071,001071_male_Asian_45,mask2.jpg,1,1,0,0
001071,001071_male_Asian_45,mask1.jpg,1,1,0,0
001071,001071_male_Asian_45,mask3.jpg,1,1,0,0
001071,001071_male_Asian_45,normal.jpg,13,1,0,2
001071,001071_male_Asian_45,mask5.jpg,1,1,0,0
001100,001100_female_Asian_43,incorrect_mask.jpg,10,1,1,1
001100,001100_female_Asian_43,mask4.jpg,4,1,1,0
001100,001100_female_Asian_43,mask2.jpg,4,1,1,0
001100,001100_female_Asian_43,mask1.jpg,4,1,1,0
001100,001100_female_Asian_43,mask3.jpg,4,1,1,0
001100,001100_female_Asian_43,normal.jpg,16,1,1,2
001100,001100_female_Asian_43,mask5.jpg,4,1,1,0
000292,000292_female_Asian_57,incorrect_mask.jpg,10,1,1,1
000292,000292_female_Asian_57,mask4.jpg,4,1,1,0
000292,000292_female_Asian_57,mask2.jpg,4,1,1,0
000292,000292_female_Asian_57,mask1.jpg,4,1,1,0
000292,000292_female_Asian_57,mask3.jpg,4,1,1,0
000292,000292_female_Asian_57,normal.jpg,16,1,1,2
000292,000292_female_Asian_57,mask5.jpg,4,1,1,0
003239,003239_female_Asian_20,incorrect_mask.jpg,9,0,1,1
003239,003239_female_Asian_20,mask4.jpg,3,0,1,0
003239,003239_female_Asian_20,mask2.jpg,3,0,1,0
003239,003239_female_Asian_20,mask1.jpg,3,0,1,0
003239,003239_female_Asian_20,mask3.jpg,3,0,1,0
003239,003239_female_Asian_20,normal.jpg,15,0,1,2
003239,003239_female_Asian_20,mask5.jpg,3,0,1,0
003570,003570_female_Asian_60,incorrect_mask.jpg,11,2,1,1
003570,003570_female_Asian_60,mask4.jpg,5,2,1,0
